
Física,Módulo 1: Atividade 1; Rumo ao E. Médio 1 e 2.
Física,Modulo 2: Atividade 1
Fisica,Módulo 3: Atividade 1 e Rumo ao E.Médio 1
Física,Modulo 4 e 5 inteiros
Inglês,Página 55; 56; 57 e 63
Inglês,Módulo 5 inteiro
História ,Capítulo 2; 3 e 4 inteiro 
Biologia,Página 9 da apostila; exercícios 1 a 9
Biologia,Documentos na plataforma plurall
Religião,Pag. 8; Questões 1 e 2
Religião,Pag. 9; Questões 3 e 4
Religião,Pag. 12; 12; 15 e 17
Ed. Física,Pag. 13 a 15 e Pag. 36 e 37
Ed. Física,Exercícios 1; 2 e 3 da pag. 21
Espanhol,3 Documentos na plataforma plurall
Espanhol,Pag. 30 e 32; exercícios 2 e 3
Port (Rodrigo),Pag. 22; questão 1
Port (Rodrigo),Pag. 23 a 26 (Até o número 6)
Port (Rodrigo),2 Documentos na plataforma plurall
Geografia,Exercícios passados em uma vídeo aula
Mat (Cássio),Pag. 404 (Completa); 410 (ex. 5); 413 (ex. 5) e 414 (ex. 6)
Mat (Cássio),Pag. 340 (ex. 6; 7 e 8); 342 (ex. 1; 2 e 3)
Mat (Cássio),Pag. 351 (ex. 7); 352 (ex. 1) e 354 (ex. 4)
Química,Exercícios no documento da aula do dia 13/4
Química,Exercícios no documento da aula do dia 17/4
Mat (Júlio),Lista de exercícios escritos na plataforma
Mat (Júlio),3 documentos na plataforma plurall
Port (Monique),Pag. 45 (ex. 1 ao 6); 48 (1 e 2) e Rumo ao E.Médio (pag. 49) 1 a 5
Port (Monique),Pag. 127 a 132
Artes,Trabalhos passados em vídeo-aula (2/4; 8/4; 22/4; 29/4 e 6/5)
Artes,Fazer a pintura do dia 10/6/20
Biologia,Exercícios sobre proteínas da aula do dia 10/6/20
Port (Monique),Fazer as pag. 73 a 79; 106 a 109
Geografia,Tarefas passadas no dia 10/6
Port (Rodrigo),Tarefa em folha do dia 12/6
Port (Rodrigo),Tarefas do livro (pag. 18 a 22)
Inglês,Fazer as páginas 82 a 85

Hist(Rodrigo),Fazer o capitulo 4 inteiro 15/06
Historia,fazer o capitulo 5 todo (não é o 4) 15/6
Mat (Cassio),Fazer a pag. 386 da apostila 2
Mat (Cassio),Fazer as pag. 396 e 397 da apostila 2
Artes,Fazer a tarefa do dia 16/6
